Year,tas_diff
1850,-0.5359554894854793
1851,-0.5224225483345667
1852,-0.2101993370766968
1853,-0.13084615045695105
1854,-0.19564331516691075
1855,-0.15760672755818822
1856,-0.1756522248384541
1857,-0.21569873286741925
1858,-0.3641058149119429
1859,-0.08323489104458677
1860,0.0037445155024464216
1861,-0.19601230219637208
1862,-0.18330078401450503
1863,-0.1833067686939076
1864,-0.1757855276450941
1865,-0.06347363313768221
1866,-0.2905064293636622
1867,-0.20909894512036106
1868,-0.15994086485274667
1869,-0.1985656548335117
1870,-0.1186737436636327
1871,-0.2026358398896164
1872,-0.19902692994378662
1873,-0.11367364318726446
1874,-0.07620174600775392
1875,-0.0872678089425819
1876,-0.10602730311322607
1877,-0.060292485377327204
1878,-0.0735524364124314
1879,-0.07201954530093524
1880,-0.08288049041117497
1881,-0.08164994778758178
1882,-0.00954783069833346
1883,-0.07020389688062487
1884,-0.058225630222712765
1885,-0.17877950125992667
1886,-0.21206843843708706
1887,-0.1669448084745731
1888,-0.019633689892981476
1889,0.06755170907023753
1890,0.050581894893974494
1891,-0.035409029229121425
1892,-0.22534438982192315
1893,-0.029389100396635413
1894,-0.01863938924740536
1895,-0.30989218793517065
1896,-0.032878744843863494
1897,0.027329900730316794
1898,-0.12481762953267118
1899,-0.15292503184858625
1900,-0.1874629046774094
1901,0.057390746753730994
1902,-0.06710584212917037
1903,0.0011009774536226424
1904,-0.13918611970687023
1905,-0.27492518911166597
1906,-0.09259877669695658
1907,-0.06280046679556496
1908,-0.17825754697596705
1909,-0.29497688640121134
1910,-0.15861872348698508
1911,-0.2422315439751402
1912,-0.24555324164955908
1913,-0.15126243431035338
1914,-0.16674493348127045
1915,-0.1702795954355539
1916,-0.24313430299068853
1917,-0.08909418668318078
1918,-0.07919084067533064
1919,0.01960587101478549
1920,0.051125137369305115
1921,-0.02079409200022212
1922,-0.04614373762112339
1923,-0.017421991271374684
1924,0.019708605661199197
1925,-0.11781001822015279
1926,-0.18388603038003484
1927,-0.09736501534205766
1928,-0.13046528091397427
1929,0.0324296801005186
1930,0.002867440270064102
1931,-0.11932850759009547
1932,-0.11815520327849371
1933,-0.2082388905227036
1934,-0.18118889252496231
1935,-0.01160801705272941
1936,-0.006793916048567569
1937,-0.10863345741877745
1938,0.03736875957731026
1939,-0.06225147172285867
1940,-0.2203396838110571
1941,-0.09542474342536401
1942,-0.08450045633704899
1943,-0.088269638732034
1944,-0.23964443918895653
1945,-0.2615058440163184
1946,-0.1574133870657314
1947,-0.1528239115102149
1948,-0.24431277097278148
1949,0.03804015243627193
1950,0.1517629811392295
1951,0.035925355123691494
1952,-0.2553349147210944
1953,-0.2389882790943288
1954,-0.007473728233466641
1955,0.11548651732506471
1956,-0.029965540704088828
1957,-0.15946780027844049
1958,-0.2634759882292864
1959,-0.09598395479944352
1960,-0.014814998145914332
1961,-0.06360767676519788
1962,-0.0964267474506985
1963,-0.22846360348074451
1964,-0.3490228706650015
1965,-0.13234203230918964
1966,-0.045943557740430824
1967,-0.11672806129430657
1968,-0.06558727617303958
1969,0.026428856479440876
1970,0.06752784780143808
1971,-0.08283323054154343
1972,-0.04493862970469279
1973,-0.1978644648455512
1974,-0.35258175975666917
1975,-0.13783385885762078
1976,-0.11300903833883419
1977,-0.030805909745503457
1978,-0.02962894874438464
1979,-0.020180316382623603
1980,-0.08924440990644687
1981,-0.23031057218771658
1982,-0.03214662231871084
1983,-0.12751070746329438
1984,-0.19299435902407913
1985,-0.2987710737899405
1986,-0.3646992792786687
1987,-0.18959401932397327
1988,-0.18665085270665313
1989,-0.1858530577781849
1990,-0.19187644850624377
1991,-0.39514494891433377
1992,-0.24525067157538993
1993,-0.03628572603140959
1994,-0.0972510789572034
1995,-0.13511387418129098
1996,-0.15017226142595547
1997,-0.23867587077078412
1998,-0.24983058976374412
1999,-0.17452971765663372
2000,-0.2713193489998646
2001,-0.27732811106031574
2002,-0.12970457135199176
2003,-0.17682018050265857
2004,-0.17414859334580257
2005,-0.12889983571948982
2006,-0.12461806214452675
2007,-0.1807061877118159
2008,-0.09604974453321535
2009,-0.10444883585071696
2010,-0.21337662329499452
2011,-0.1729666929137601
2012,-0.07762748724352664
2013,-0.07237452334269734
2014,-0.010245922864450918
2015,-0.05430789922854107
2016,-0.25723240998834473
2017,-0.12369297524145129
2018,-0.024731835856599105
2019,-0.07434542938493505
2020,-0.19090786756823164
2021,-0.28799042018264176
2022,-0.06938775218129711
2023,-0.07312572104342396
2024,0.020240420743302012
2025,-0.10059068838091578
2026,-0.10025265133283945
2027,-0.08755811722203122
2028,0.20136195788261824
2029,0.19715503935383594
2030,-0.0818549924786105
2031,-0.007266700336832077
2032,-0.015434594998287476
2033,-0.08761531806389278
2034,0.00610996173201217
2035,0.08296858579698974
2036,0.13864752552438508
2037,0.007194899304265867
2038,-0.11561837619591486
2039,0.193484030346055
2040,0.04778174223651188
2041,0.1017800290530615
2042,0.16808924674277792
2043,-0.13296789584278645
2044,-0.08052587767783637
2045,0.01492402326854858
2046,0.07383213495924945
2047,-0.026027187326306045
2048,-0.1297780899875276
2049,0.11451970827061109
2050,0.2103027589775679
2051,0.2785595623891366
2052,0.1041910297013029
2053,0.308169886014404
2054,0.35258308570767394
2055,0.17994175793933653
2056,0.30173141176448404
2057,0.2884569074939449
2058,0.17733788295918007
2059,0.318134631388852
2060,0.371654521324257
2061,0.3386322846281802
2062,0.37186784236049997
2063,0.2743096982877322
2064,0.24866342644426087
2065,0.38173195782752334
2066,0.3798164992911155
2067,0.47025388407441104
2068,0.32155751151156364
2069,0.12912520775110936
2070,0.18869684580141177
2071,0.1632039113886945
2072,0.2817566201190327
2073,0.14326683983501898
2074,0.29359195357877166
2075,0.2737216052859299
2076,0.1609595451474819
2077,0.33792822558152036
2078,0.30935173082779066
2079,0.2720121436509557
2080,0.3510649633537746
2081,0.39464876333479726
2082,0.3069783452674666
2083,0.30436335141994864
2084,0.3433812660525839
2085,0.278246511937684
2086,0.3686411661040401
2087,0.46587228847331685
2088,0.4392436589493913
2089,0.26996098052040507
2090,0.27034297203812807
2091,0.46331447179323515
2092,0.34019368642957293
2093,0.24796887725625627
2094,0.2628066988577773
2095,0.002097985880013198
2096,0.0012437469701662707
2097,0.34555938627279437
2098,0.4606577934436178
2099,0.41211628487410845
2100,0.45157841616512817
