Year,tas_diff
1850,-0.26345897699963716
1851,-0.16952295499908265
1852,-0.14777469282447492
1853,-0.13550497696059158
1854,-0.20031257363489763
1855,-0.13439658753456327
1856,-0.1192581282815057
1857,-0.3376740984562943
1858,-0.34037139017148665
1859,-0.28912503335738227
1860,-0.32503637942629804
1861,-0.09487927852766447
1862,0.023586364714586014
1863,-0.08469958749850184
1864,-0.3480231806655042
1865,-0.16208035163659235
1866,-0.25150040080741637
1867,-0.21387420980913557
1868,-0.14235508272059044
1869,-0.14009199394976915
1870,-0.1921833783479487
1871,-0.25591277436357845
1872,-0.20051278170992898
1873,-0.08232117484958164
1874,-0.23533759558566375
1875,0.0370338478807055
1876,-0.06290235747725981
1877,-0.3714376784540825
1878,-0.07168200558025434
1879,-0.22701670776749483
1880,-0.40086208308090404
1881,-0.17461988653663912
1882,-0.21780771308217786
1883,-0.4292454094023405
1884,-0.07126348249363895
1885,-0.25652048609822553
1886,-0.2908906154116413
1887,-0.10886497625329111
1888,-0.19128472889100756
1889,-0.0394074378518051
1890,0.004788103992439105
1891,-0.00445350267685294
1892,0.01721879645267503
1893,-0.1621700298446145
1894,-0.28592784409727284
1895,-0.08497304982002818
1896,-0.010494805816641105
1897,-0.1481097495345354
1898,-0.16643558622162272
1899,0.02427926472451234
1900,-0.06332404955675319
1901,-0.20949161427386317
1902,0.024624043891867467
1903,0.01064738765122697
1904,0.11763627520362174
1905,0.1639442462844506
1906,0.19277729578813718
1907,-0.012790801504968738
1908,0.07249869666277581
1909,0.18519119897100192
1910,0.12769804129472398
1911,0.10852734242198496
1912,0.15401734489516458
1913,-0.02050428554588564
1914,-0.08439370610382638
1915,0.11229062011810517
1916,0.2654855467117503
1917,-0.011486881013459016
1918,0.27108404602841635
1919,0.1063925908680996
1920,-0.01731273027638966
1921,-0.03909775332206214
1922,0.04517967475183705
1923,0.08239571802932724
1924,0.06464936127344838
1925,0.005428797380677971
1926,0.0883845706857805
1927,0.08580003041998686
1928,0.2730687258907532
1929,0.24356347044067214
1930,0.21710110520122472
1931,0.1508486773433145
1932,0.19533894567019944
1933,0.14532521826674952
1934,0.0025218378852497197
1935,0.16395558979303373
1936,0.4589825651156244
1937,0.42454615442588484
1938,0.2788993608997839
1939,0.2335168794167466
1940,0.26734895016999977
1941,0.27261644807603896
1942,0.022102906194293725
1943,0.09656970961977232
1944,0.27997479752471705
1945,0.005768708046383408
1946,-0.03729328622765307
1947,0.3341981264284937
1948,0.30298004329505596
1949,-0.010906201496941492
1950,-0.049087748727792146
1951,-0.011443620860641185
1952,-0.004625634226923414
1953,0.13235561946840982
1954,0.11270386729219752
1955,0.09177768124279703
1956,0.23667427805749008
1957,0.18541078504793226
1958,0.004150202795007302
1959,0.22251585265820173
1960,0.13304170071985605
1961,-0.010203742911602032
