Year,ERF
1850,0.6789236204562884
1851,-0.21733032673930758
1852,0.058895704291600265
1853,0.06840170094049225
1854,0.27974164380503397
1855,0.06824649329495618
1856,0.2319294102875768
1857,0.15794000450013299
1858,0.13539843909634436
1859,0.06042643297893818
1860,-0.13555608487279025
1861,-0.2640008235736862
1862,-0.09176554730077967
1863,-0.20901862776205304
1864,0.12140445647719848
1865,0.1996440004650448
1866,-0.42917827555905247
1867,0.07940738523406814
1868,0.2735098120151633
1869,-0.17600114185390614
1870,0.4483333449153467
1871,-0.24733637089039212
1872,0.24497655610304725
1873,-0.34212544951273743
1874,0.2296621933140593
1875,0.053298880967164564
1876,0.3792708920339165
1877,0.20888137044128366
1878,0.26163908400324853
1879,-0.2987504290642195
1880,0.37664617265743805
1881,0.07248921552053819
1882,0.24963873153975769
1883,-0.4410070938378739
1884,-1.778935820189835
1885,-0.6189693407723375
1886,0.04923029277845434
1887,-0.18691060250202218
1888,-0.05895228091255795
1889,0.16708117214471913
1890,-0.16142487985839138
1891,0.022813823901019444
1892,0.33719934757736403
1893,-0.2525856299689174
1894,0.29985209025805903
1895,0.5858863419546584
1896,0.17004015806442785
1897,-0.0063892905137352615
1898,0.05572635937283565
1899,-0.21215715054557638
1900,0.22843679563611977
1901,0.24592775793941163
1902,0.015710412097243248
1903,-0.531397611230071
1904,-0.42257926148499647
1905,0.39063846161512517
1906,0.4669881111449445
1907,-0.0904917631930175
1908,0.06442820434600696
1909,0.3073280947532968
1910,0.14742017762704152
1911,0.34300007482288986
1912,-0.12780702205619024
1913,0.2681073789170179
1914,-0.13118723195054444
1915,-0.16182555013057703
1916,0.4188659278354312
1917,0.9399324936157774
1918,0.1971542578068907
1919,0.33450507526931916
1920,0.02403116068210863
1921,0.4519013364597325
1922,0.49119156436141165
1923,-0.13887499606916784
1924,0.24389685908351916
1925,0.49607576431054207
1926,0.725347463242327
1927,0.16824500497209335
1928,0.174516346932065
1929,-0.28346160739168447
1930,0.5874187785852087
1931,0.3828275144355357
1932,0.7685967362720744
1933,0.10553542322121136
1934,-0.335346802211756
1935,0.7283671350721104
1936,0.7269760276897738
1937,0.03180562237401524
1938,0.24817015626949618
1939,1.0180986437645683
1940,0.5725730960822788
1941,0.5606569397283896
1942,0.025215845509070967
1943,0.2871186194180173
1944,0.9368161542295921
1945,0.5563239052018072
1946,0.565483617486612
1947,0.41706157885882567
1948,0.18954428993792483
1949,0.6297196616976118
1950,0.42648993535844504
1951,0.492018885149419
1952,1.0156920719421563
1953,0.4690050113732577
