Year,ERF
1850,-0.3873454841284698
1851,-0.33761671021902995
1852,-0.21486472962379463
1853,-0.20405127018931093
1854,-0.02779037921744291
1855,0.18290188747192646
1856,-0.1611799144579624
1857,-0.11076031610331882
1858,0.20128812949373337
1859,-0.5556921214749022
1860,-0.06213421433606303
1861,-0.23387662719127064
1862,-0.5528611438885758
1863,-0.34870099979830466
1864,-0.11534867329171465
1865,0.10992144494042633
1866,0.06018104346839409
1867,-0.18664100448445567
1868,-0.07102031660340535
1869,0.3427274156194749
1870,-0.34040532350760533
1871,0.08574441579481012
1872,-0.07867761971547743
1873,0.5352428804659343
1874,-0.12805061887496447
1875,0.2992016403457258
1876,-0.031417374218756344
1877,0.18102055732128303
1878,0.11224902182586832
1879,0.1347518438288533
1880,0.14777746573135536
1881,-0.037438727058247495
1882,0.021763313975331267
1883,-0.8018728286081757
1884,-0.8966646311231066
1885,0.09892368678485808
1886,0.10346682039505294
1887,-0.07021623200621145
1888,0.2117840862505931
1889,-0.17171801461333736
1890,-0.043062417877611406
1891,-0.3218153364618225
1892,0.536122974062157
1893,-0.35683495267657195
1894,0.25100552542248755
1895,0.5114656273337135
1896,0.25808856578565514
1897,-0.10906884054789165
1898,0.3843439626850991
1899,0.1625555714537627
1900,0.112134871853187
1901,-0.06920583172591475
1902,-0.15788723179662562
1903,-0.667281020728923
1904,0.09103725200619396
1905,-0.05943046162732671
1906,-0.10583453036292065
1907,0.40378957080826366
1908,0.1615294435601083
1909,-0.12199928307197166
1910,-0.08938673706911628
1911,0.009097698939915005
1912,-0.12739394408021587
1913,-0.22720886320042974
1914,0.28065724756046445
1915,-0.009430107787241501
1916,0.536401569937853
1917,0.20816315078075817
1918,0.5132819076455292
1919,0.7545878057688334
1920,0.7453269488858354
1921,0.6663208113376969
1922,0.5009118037006737
1923,0.30112872299900634
1924,0.19118056674967962
1925,0.3662657840792287
1926,0.2842505886882955
1927,0.35949126933839154
1928,-0.05978388487362682
1929,0.4276227691393574
1930,-0.08513553611595387
1931,0.5566675839848376
1932,0.4165649621828146
1933,0.6787542629364414
1934,0.7553630735695999
1935,0.4177270636681838
1936,0.21165464139386292
1937,-0.09478650408544032
1938,0.4282214140173752
1939,0.4279700512711558
1940,-0.03027675402197877
1941,0.3586617869910928
1942,0.45879154325117566
1943,0.8030445578857095
1944,0.2494769265141334
1945,0.6591602906651393
1946,0.8237281731414088
1947,0.5482310545170423
1948,0.7072326112592939
1949,0.6728193828828746
1950,0.5726417920239492
1951,0.5667477674505048
1952,0.5164063762945617
1953,0.13996266167807092
1954,0.06551467969964209
1955,0.2565316406586507
1956,0.4663967560327734
1957,0.5351455187360812
1958,0.642237224991947
1959,0.4572606211941268
1960,0.2612609394399069
1961,0.3639802338942918
1962,0.4688104819775529
1963,-0.5383619980442447
1964,-0.1371024068302293
1965,0.0722871605420398
1966,0.5372968521509323
1967,0.6068162913205016
1968,0.7517780590710772
1969,0.5521079328275913
1970,0.41942809082536503
1971,0.3212743530145321
1972,0.7844532384265698
1973,0.49008307164971204
1974,0.7403486034046022
1975,0.10478591303800905
1976,0.6056665779418594
1977,0.6777593719777282
1978,0.6619517448831194
1979,1.2956186752336047
1980,1.2047182442876676
1981,0.7654954286138005
1982,0.32966983216538903
1983,0.9117576855435912
1984,0.7009634865353227
1985,0.9197564352939595
1986,1.140904498009953
1987,1.35180985509316
1988,1.2532333612410875
1989,1.55817448207589
1990,1.3477777717592148
1991,0.3340325781300847
1992,-0.2800557305075365
1993,0.9535899371347476
1994,1.6098211967055445
1995,1.8752276305618603
1996,1.758849175313402
1997,1.7497387122319932
1998,1.5207277459572213
1999,1.7702326474817078
2000,2.263436512208446
2001,1.7017770601413122
2002,1.6520535982991906
2003,1.9907550288320586
2004,1.7694892663182864
2005,1.7933340661006736
2006,1.646090107981172
2007,1.83879329511251
2008,2.011863615068029
2009,1.955789005857373
2010,1.540243036468333
2011,2.0077338024203177
2012,1.885614775221271
2013,2.5959888275490113
2014,2.3592961342387424
