Year,ERF
1850,0.21901999054548232
1851,0.5029497711543278
1852,0.06659654732548591
1853,0.4527019473437491
1854,-0.032852671529109145
1855,-0.07354787292757836
1856,0.1112678168306273
1857,-0.2050175013752232
1858,0.11946335650508126
1859,0.6218250422740246
1860,0.5417909873909141
1861,-0.33143295729957867
1862,-0.7982158804018309
1863,-0.8460435147346221
1864,-0.2826482004508062
1865,0.28941774942545684
1866,0.27602690265893143
1867,0.6202937651560336
1868,0.31134010988321165
1869,0.6950516081796339
1870,-0.031666428629968935
1871,-0.02671488159611278
1872,0.1962068549863097
1873,0.6061618262317989
1874,0.5846966407866778
1875,0.13169782043098985
1876,-0.04481006728471193
1877,-0.050925911901930215
1878,-0.013340108445441305
1879,-0.15645083943362978
1880,0.29533298028689764
1881,-0.2295078732529094
1882,0.1118939668958619
1883,-0.3262669559860586
1884,-2.134382268792095
1885,-0.5522486638398643
1886,-0.021829075370733142
1887,0.14284137781896059
1888,-0.34393830304584216
1889,0.45490568151641325
1890,0.9016673088874672
1891,-0.5609570033862074
1892,-0.35865101485522877
1893,-0.13129347496132032
1894,0.7413549931915961
1895,0.9706436169540937
1896,-0.016178484197747506
1897,-0.08039783716018778
1898,0.43768644602180223
1899,0.27891842034733394
1900,0.7751086718530398
1901,0.6592433688196627
1902,-0.32834016715847236
1903,-0.4653309739185281
1904,0.02140020803851345
1905,0.618661730347167
1906,-0.18546101559152278
1907,-0.3385611387394101
1908,0.23646976405941486
1909,0.6572493597607407
1910,0.5028242310866817
1911,-0.6031200034933122
1912,-0.5175839570724461
1913,0.2149485939790844
1914,0.79301033757816
1915,1.0720390489729708
1916,0.7448835623764426
1917,-0.6105436362383787
1918,-0.12262498301350064
1919,1.1123789783918017
1920,0.7636948793076854
1921,0.5350886469253792
1922,0.41306076381517176
1923,0.539287743293845
1924,0.015123417966455943
1925,-0.3927508921318507
1926,0.45804009038282767
1927,1.2791421312346976
1928,1.0223673419478718
1929,0.6040940140216338
1930,0.13786308939219177
1931,0.5203456008734652
1932,0.7101434923105571
1933,0.6786741682715258
1934,1.1837515577661475
1935,0.2787120826454128
1936,-0.26579187877775107
1937,0.5510601126319894
1938,1.611663877104902
1939,1.3676150419303805
1940,0.7311936372000195
1941,0.9929302256940482
1942,-0.14863354421974062
1943,-0.37283104439296166
1944,0.9188688856207317
1945,0.8672732756399186
1946,0.95569302104902
1947,0.19904429317133793
1948,0.7431599913068458
1949,0.5872542944085306
1950,1.0756857845265557
1951,0.8021586366165405
1952,0.4604098744685472
1953,0.08039480585159947
1954,0.7424787971161612
1955,0.8845449755989601
1956,0.7965737226316233
1957,0.20500429454505353
1958,0.6682452184426093
1959,0.820674433446535
1960,0.9717421735537292
1961,0.7038924748431425
1962,0.8812781674332845
1963,-0.6863028876408346
1964,-0.5523873857807731
1965,-0.18581671933218208
1966,0.7835524442535534
1967,0.33389436776606674
1968,-1.1707152993638523
1969,0.40454896783731453
1970,0.8297955467010389
1971,0.6513289301078677
1972,0.5371064511827291
1973,0.315500627189074
1974,0.6970518625884052
1975,0.12812628601464948
1976,0.38678295637368404
1977,0.7332819295973163
1978,1.0738073479326966
1979,0.7729694686819673
1980,0.8194827503828277
1981,1.0046275019805244
1982,1.235459942537378
1983,0.4607865601723391
1984,0.33457300214220803
1985,0.7600000172662378
1986,0.8498258928644098
1987,1.5185542852748446
1988,0.988208339585828
1989,0.31348754587688854
1990,1.1635038143381506
1991,0.5187885474737934
1992,-0.5918808401364433
1993,0.21176901924809033
1994,0.6135128184344523
1995,1.3643545891281676
1996,2.019919665719705
1997,0.9476749373108171
1998,1.1902890376586992
1999,2.0598162225718153
2000,2.268529822297314
2001,1.677516716452153
2002,1.8020974003470211
2003,1.7235209450544695
2004,0.6750912394760619
2005,1.0711574206153547
2006,2.030567968262433
2007,1.8603886130783984
2008,1.8740197742834788
2009,0.3848394023545815
2010,1.3941973697921899
2011,2.9375981178635175
2012,2.533606413284127
2013,2.3557708729092437
2014,1.2138075900911576
2015,1.6837227096166387
2016,2.5105061499958055
2017,2.2871219711940918
2018,2.323485863302626
2019,2.6223974908705125
2020,2.5178794603184493
2021,2.104864250534442
2022,2.2782801467943816
2023,3.1314068003733118
2024,3.6058406607630538
2025,3.3957279687046626
2026,1.9914457764764246
2027,2.757630945029879
2028,3.3532960556697606
2029,3.15167706056289
2030,2.232586032265703
2031,2.8052660645816916
2032,3.6738031108912925
2033,3.1817947366127375
2034,2.273491562083981
2035,3.3662188689657766
2036,4.1608683538189135
2037,4.339484067394492
2038,3.9678972437940505
2039,3.9582260651204586
2040,2.5973386604969817
2041,3.316760284336495
2042,4.063911777704869
2043,4.63952329456685
2044,4.079554065617751
2045,2.233827626437185
2046,4.426415220099585
2047,5.067681879530476
2048,4.913389244639967
2049,3.0740038403444707
2050,3.785762003604656
2051,5.126784907268517
2052,5.18081259793758
2053,4.405437345378077
