Year,ERF
1850,0.4176011620309774
1851,-0.5914859104410197
1852,0.2201314496693454
1853,0.19039539509281023
1854,0.020107503249389924
1855,0.31969666282049064
1856,-0.14805969422015908
1857,0.18845248145996357
1858,-0.10040987599446845
1859,0.2111963890813994
1860,0.36818248513629764
1861,-0.15613133942033924
1862,-0.29472566866846944
1863,-0.27795038568150726
1864,-0.02935122316735994
1865,0.6221432277293059
1866,0.6880766290487553
1867,0.30232237636752224
1868,0.07596517523496835
1869,0.1933308803482518
1870,0.125138840634381
1871,0.18560656441118129
1872,-0.10069931133397106
1873,0.15724378751083515
1874,0.5101600574090632
1875,0.4376012066923499
1876,0.21223417336903275
1877,0.3696185030451178
1878,0.13096402740942942
1879,-0.45875020507588665
1880,0.30745205246961327
1881,0.5465367589880572
1882,0.5408399796880426
1883,-0.07425503780113898
1884,-1.0903026290314772
1885,-0.578189233506712
1886,-0.11760526364985091
1887,0.3068660113211171
1888,0.39583931358387936
1889,0.37863160304539334
1890,0.3117152240205566
1891,-0.10816168259163089
1892,0.02037151136738287
1893,0.4582027584366879
1894,0.13703596895582437
1895,0.7362750353224059
1896,0.22653116116133895
1897,0.051377940811461964
1898,0.6224550512763447
1899,0.36747884878539777
1900,0.44389134742947867
1901,-0.27506907660386315
1902,-0.11119438553632134
1903,-0.52691919360595
1904,-0.3864971363339935
1905,0.2672410543206134
1906,0.3647402020908057
1907,-0.21431820219281697
1908,0.09529599273276668
1909,0.18327893073451587
1910,0.25553711439189547
1911,0.29877850182203025
1912,-0.10520059136975189
1913,-0.4653936675536704
1914,0.14465542216845162
1915,0.011148261469402287
1916,0.4179673344623716
1917,0.6563326012801532
1918,0.7164997130068038
1919,0.48044004296300036
1920,0.73159808462741
1921,0.5712610164712468
1922,0.061595224332131854
1923,0.3453783664579966
1924,0.7712135652488457
1925,0.16520473980160738
1926,0.28634163953516245
1927,0.9802322429006061
1928,-0.04274196076011161
1929,0.11474981718932215
1930,0.8462163348409868
1931,0.44142791642231216
1932,0.6792320294521426
1933,0.6281677887183387
1934,0.4151546309428767
1935,0.5171754741703896
1936,0.854930133417687
1937,0.8610816359711029
1938,0.11287583699229475
1939,0.7678973227498499
1940,0.7735256977356798
1941,0.660262227476645
1942,0.68078768825826
1943,0.3641870549318046
1944,0.5377798491593873
1945,0.5264485140923558
1946,0.6079656625340826
1947,0.9606104684428468
1948,0.863091281007314
1949,0.9803730513618086
1950,0.09123930678028436
1951,-0.02002509590376647
1952,0.7045003545596252
1953,0.7961362865558868
1954,1.2223892455151728
1955,0.38483780914885035
1956,0.5886418833875127
1957,0.7996091709796281
1958,0.6794488751588215
1959,0.7466030617059982
1960,0.40664514124628426
1961,0.4031069067687755
1962,0.21966605305992937
1963,-0.9347294916832303
1964,0.16625045313816117
1965,0.3111287242756707
1966,0.25315857643010686
1967,0.518481980741462
1968,0.6185726714759286
1969,0.22772498514981437
1970,0.4410381740086567
1971,0.2646944343686098
1972,0.48531017273850463
1973,0.6639563471939646
1974,-0.31529622018580716
1975,0.24114105628594637
1976,0.9035189190820796
1977,0.6758741373032151
1978,1.5845983374293482
1979,0.37854563308660927
1980,0.5479296039625251
1981,0.999951618103448
1982,0.6497112282125523
1983,0.34734473281693123
1984,0.5846429901730696
1985,1.2656237095939447
1986,0.3225544559916206
1987,1.0398941757333353
1988,1.4246201958839357
1989,1.7798335010992266
1990,1.4688800817043643
1991,0.11347746824159999
1992,-0.7305059907110636
1993,0.3823726648618038
1994,0.7265281725731397
1995,0.7724545417228323
1996,1.4130548836183552
1997,1.5235520555915167
1998,1.977404031617897
1999,1.2729299103255678
2000,1.2816929383357167
2001,1.394003767086947
2002,2.1387170470881824
2003,1.6404824004669996
2004,2.0276026774794307
2005,1.7665075297903368
2006,1.1060016343515333
2007,1.4357510847510073
2008,2.015911076815828
2009,2.4890590015650216
2010,1.4516551247494145
2011,1.5402629059194026
2012,2.0365683337634883
2013,2.0497886541901917
2014,2.42742100674114
2015,1.9312641308407659
2016,2.079753133577005
2017,1.2888506249725313
2018,2.042516877381151
2019,2.442443733011171
2020,2.8112771698672576
2021,2.6847917229419664
2022,1.842634474055712
2023,2.5351560629529195
2024,2.7114226218897963
2025,2.604095756347709
2026,3.183930670125199
2027,2.680474206060463
2028,2.8878931401009607
2029,2.807177063838919
2030,3.15765441529412
2031,3.0853928116188993
2032,2.6165199919954403
2033,3.182711126102598
2034,3.288789955839315
2035,3.3587408342615204
2036,3.3551635838914255
2037,4.12843608332964
2038,3.0201298545255333
2039,3.4731726600080886
2040,3.6368476283405364
2041,4.149053496916889
2042,4.141610395152027
2043,3.580512526671202
2044,3.8572904665829393
2045,4.057284684758726
2046,4.507389416765147
2047,4.377682557481496
2048,4.388711533300432
2049,3.6223470097197215
2050,4.423652197674846
2051,4.658748387100463
2052,5.168031615548257
2053,4.171148067157954
2054,4.473882785413386
2055,5.439828616902794
2056,5.241291198135757
2057,5.186760340344646
2058,4.925981880387626
2059,4.552047467162352
2060,5.015094084384732
2061,5.727936171788979
2062,5.946190657580456
2063,5.570493492908535
2064,5.028513541703266
2065,5.3555363058742405
2066,5.907767367149953
2067,5.832756632730433
2068,6.476891616952011
2069,6.253801368014809
2070,6.087505040736935
2071,6.399133726413104
2072,6.482722641405664
2073,5.713198931852933
2074,6.954254572801775
2075,6.990284672679272
2076,7.3056241560019135
2077,6.443737268882033
2078,6.757505642008162
2079,7.093605199383031
2080,7.404963406871381
2081,7.54534616863876
2082,7.415138803090718
2083,7.615571331430964
2084,6.874924035048684
2085,7.752531276550923
2086,7.847994730241069
2087,8.136362572070775
2088,7.822123322602213
2089,7.492500836478888
2090,8.341060345726975
2091,8.264332282968724
2092,9.15703006891839
2093,8.04468375386007
2094,8.3391974208191
2095,9.11749827092317
2096,8.74909905550362
2097,8.277681625841538
2098,8.582197921875615
2099,9.119985384817197
2100,9.31473562406162
