Year,ERF
1850,0.48303395002519517
1851,0.32940706418301796
1852,-0.23917653426184204
1853,0.3726381271213776
1854,0.09768097255526839
1855,-0.9943605237811989
1856,0.17893098911670488
1857,-0.368311750099759
1858,-0.32213494031257994
1859,-0.17387304641990448
1860,-0.16887659792456441
1861,-0.25327560479257133
1862,-0.09793630942394996
1863,-0.24230473518552062
1864,-0.42444581391254355
1865,-0.3654772563498322
1866,-0.10023021575314839
1867,0.1650175854315426
1868,-0.5462442867415116
1869,0.3452813085424205
1870,-0.48765789574168905
1871,-0.011329679739883913
1872,-0.14757261921180553
1873,-0.08126927871496681
1874,-0.4256165139093403
1875,0.14950427561104618
1876,-0.31610963442014495
1877,0.3758732630404273
1878,-0.3206067469400339
1879,0.13269265291933818
1880,-0.0693912657396567
1881,0.02895903739485299
1882,-0.0437788557772028
1883,-0.17721818248480864
1884,-1.0760766679146987
1885,-0.15080406413255976
1886,-0.051511095727458864
1887,0.24883618224522802
1888,0.17126386000496366
1889,-0.252987057375012
1890,-0.10316503302192795
1891,0.07164722325605752
1892,-0.5029160938464015
1893,0.2229734481436022
1894,0.17782034542716313
1895,0.08116836380625686
1896,0.11508238580031627
1897,-0.20364837962227325
1898,0.11337452390282979
1899,-0.2084135678417323
1900,0.010378053945867712
1901,0.23038643387998234
1902,-0.5014449077857543
1903,0.14558773735184186
1904,-0.24994272936798884
1905,-0.6514178163339028
1906,0.34781083888045106
1907,-0.012197956048786214
1908,0.0952090631573197
1909,0.12339351430331133
1910,-0.08946369232200735
1911,-0.07139953267529657
1912,0.141702546783446
1913,-0.3000236146848923
1914,-0.18420902042401605
1915,0.395280191612395
1916,0.0794020893676308
1917,0.17003959012361414
1918,-0.08935137058741578
1919,0.677376633128133
1920,0.34187247034355767
1921,-0.13840907490186072
1922,0.31490524641761136
1923,0.3109037882608806
1924,-0.1282185854002281
1925,0.2765937104096484
1926,0.06949559832410068
1927,0.3020670910557627
1928,0.38602738752801674
1929,0.08416434482583426
1930,-0.14380502325364045
1931,-0.3202951157433238
1932,0.5590410285262449
1933,0.36476044812946196
1934,-0.05011241598510717
1935,0.5750180599204788
1936,0.05306034607743494
1937,0.5223808933961042
1938,-0.0739197289460877
1939,0.2705925166709774
1940,0.29371070596810883
1941,0.4357676197357785
1942,0.23093151515331078
1943,-0.03257340625532029
1944,0.6868738472871915
1945,-0.020748892999481947
1946,0.4048070433531776
1947,0.35327089846471743
1948,0.6595056088083273
1949,0.34015147820030545
1950,-0.5427857573483452
1951,0.6708348085548413
1952,0.1483579775753668
1953,0.0005323076565650342
1954,0.4406450082863919
1955,0.08973647634394262
1956,0.17103377467913974
1957,-0.03445035646127788
1958,0.6499907218032099
1959,0.17952827452704456
1960,-0.1469478299544606
1961,0.48350011108347807
1962,-0.30791207178658075
1963,-0.6213795982002308
1964,-0.2510881837004064
1965,-0.30708492180320235
1966,0.07716180844668331
1967,0.2561162647296118
1968,-0.16878500783185274
1969,0.11955248284437274
1970,0.009636251492068062
1971,0.0880274912726372
1972,0.3322649386843305
1973,0.18647096295981186
1974,0.19180310524733907
1975,-0.19218450630088235
1976,0.148283009388522
1977,0.15863187894811978
1978,0.3733646226487788
1979,0.28129862753570434
1980,0.6866460870295598
1981,0.5414293029560885
1982,0.031376172919403644
1983,-0.0017479440072510483
1984,0.23397748240815283
1985,0.18791618817256117
1986,0.5472908374703136
1987,-0.18988509283633753
1988,0.96746212037927
1989,0.3669451952688751
1990,0.08377417554288849
1991,0.6830860943637322
1992,-0.19021741909235002
1993,-0.21400042619056908
1994,0.3020844586762006
1995,0.8512848103024986
1996,0.4079730100515146
1997,0.6680715135326464
1998,0.6706592694941067
1999,0.6226842657902544
2000,0.8361760017353459
2001,0.669022708168046
2002,0.9178798882323589
2003,0.9286045402456276
2004,0.6154135637804916
2005,0.8613530626854567
2006,0.9529026756714882
2007,0.24846583748382012
2008,1.1273305814157466
2009,0.6915246935052617
2010,0.9067251845450346
2011,1.106213171670373
2012,0.8860540322687802
2013,1.2300622627684619
2014,1.609295814284901
2015,1.453197187675951
2016,0.6655930806226225
2017,1.5464957993482817
2018,1.1517715117176854
2019,1.437764317558301
2020,0.9800980833224268
2021,1.478464730384022
2022,1.777939899190987
2023,1.582831494255259
2024,2.2760965335207843
2025,1.6870844105940548
2026,1.060846237702655
2027,1.9920000323391418
2028,1.7296982566323822
2029,2.0064445533667326
2030,1.426548622794604
2031,2.09437918235007
2032,2.0410977432764703
2033,2.051109672450661
2034,1.6283436375158995
2035,2.106213162479888
2036,2.2853266588798045
2037,2.026203299811869
2038,1.8393203519746382
2039,2.753858372528013
2040,1.896209159181663
2041,2.4224154923011225
2042,2.460695285034008
2043,2.0906979350706925
2044,2.677815046007849
2045,2.3411890227134524
2046,2.8315409260290343
2047,2.527835602290458
2048,3.1232773932336597
2049,2.367714877132637
2050,3.1196655105456026
2051,2.7497564550935687
2052,3.0307093394608096
2053,2.45787334648376
2054,3.393874291444832
2055,2.9045207401473294
2056,3.1400612614006085
2057,3.469287024952602
2058,3.2706562716948584
2059,3.178490870057182
2060,3.3054557988534423
2061,3.4247248240129187
2062,3.011530849079973
2063,3.0295457522205194
2064,3.7496430896190165
2065,3.7227886617583446
2066,2.7949355901512236
2067,4.082388442052045
2068,3.6320054369151573
2069,3.2753999900797877
2070,4.569396833382366
2071,3.669863156857727
2072,3.650024227861468
2073,4.362025419104123
2074,3.825354142916548
2075,4.036906015189166
2076,3.6667506522145827
2077,4.5215281900168485
2078,3.982442338599287
2079,3.69135456464409
2080,4.619081393942703
2081,3.9012389342644465
2082,4.78476074965654
2083,4.360445682339115
2084,3.914558541665572
2085,4.868131280031669
2086,4.1582608045367095
