Year,tas_diff
1850,0.09948860941282157
1851,0.2455950086757279
1852,0.22806842497021335
1853,0.2513906262482186
1854,0.23392262341457692
1855,0.14967521009092807
1856,0.056276809078822695
1857,0.013377760988810343
1858,0.21545372845606084
1859,0.10985870281323161
1860,0.062280727176669826
1861,0.3393105049209285
1862,0.26334239043297647
1863,0.2748098976140707
1864,0.26280978920695347
1865,0.2692237630382213
1866,0.06825963560725715
1867,0.0008518305933580272
1868,-0.10390253289988871
1869,0.1454674607109762
1870,0.024415026513182055
1871,-0.06922053525419251
1872,0.2161418592279102
1873,0.10459442628376689
1874,0.08632893764261174
1875,0.0680431380931539
1876,0.17133489599077611
1877,0.1709029450862202
1878,0.023589253152417416
1879,-0.19106057533817675
1880,0.04057414017747841
1881,0.17627793480651877
1882,-0.0530306077158937
1883,-0.0826308887854431
1884,0.10013154606560949
1885,0.028196712964421874
1886,0.0014821456706691563
1887,0.020153400041263696
1888,0.06098391335792033
1889,0.11682644879809986
1890,0.10662772005225386
1891,0.13813922578989513
1892,0.2524183436772287
1893,0.14606700275745488
1894,0.12815673006156103
1895,0.18877619469228724
1896,0.22104578243374756
1897,0.2088896054525699
1898,0.02514550120575465
1899,0.10541979888627262
1900,0.05249941869084883
1901,0.13337238120822167
1902,0.30380172604061256
1903,0.2276472611455981
1904,0.03417602297414904
1905,0.10624561065092203
1906,0.004151704223451083
1907,-0.008228765660439175
1908,0.23498041516889237
1909,0.12573314590588044
1910,0.13774581702318597
1911,0.10863990811473717
1912,0.12051935500162732
1913,0.02463954107001769
1914,0.05895599673931154
1915,0.21821215149117162
1916,0.07761858912226509
1917,0.0566667816269914
1918,0.022231728452180785
1919,0.264056086557953
1920,0.229922655628638
1921,0.022566988057432985
1922,0.06480946285698672
1923,0.08641968305220368
1924,-0.1360572932986231
1925,0.05500845761137965
1926,0.1285719701769421
1927,0.028040272516754228
1928,0.042165459056364485
1929,0.15690933066006596
1930,0.03538819626965804
1931,-0.14324414367169025
1932,-0.11917732564700273
1933,0.0138762450914936
1934,0.20424627007961782
1935,-0.059452696615301226
1936,-0.3163253749892628
1937,-0.09955712054540419
1938,-0.19256240508748562
1939,-0.13086989058780965
1940,0.0205958888776641
1941,-0.035334859780618205
1942,-0.1693606452929539
1943,-0.07969242698916532
1944,-0.25317663660421286
1945,-0.03156432601791055
1946,0.027296367509408136
1947,0.15034515878875435
1948,0.22683563569134074
1949,-0.1198742262087453
1950,0.07726695835629682
1951,-0.05248691153323515
1952,-0.20591903260236225
1953,-0.08465379864639008
1954,0.011898541579857091
1955,-0.10697298157692348
1956,-0.18505392593891057
1957,-0.11767552368884923
1958,-0.11473537623518884
1959,0.09211409766949039
1960,0.11280542728347435
1961,-0.019654884740480258
1962,-0.02944535113271804
1963,-0.1895425802490426
1964,-0.2688278558908317
1965,-0.05001842476098789
1966,-0.12241818714823771
1967,-0.17149945162007432
1968,-0.19862146848485324
1969,-0.14264161906811387
1970,-0.049822513840176046
1971,0.0791468293523189
1972,-0.11736265456516375
1973,-0.3802833462024107
1974,-0.21317209587750263
1975,-0.04034931230809482
1976,-0.17994500799541102
1977,-0.26181449029154924
1978,-0.3416541868425439
1979,-0.26630184283670755
1980,-0.07385689221220945
1981,-0.32788549484117957
1982,-0.3581046389517264
1983,-0.12665467925620044
1984,-0.27322209510178763
1985,-0.24666404190924496
1986,-0.11339084168623242
1987,-0.03910367071499493
1988,-0.22824764173050888
1989,-0.2664329952815395
1990,-0.13716998902096111
1991,-0.05260132981383808
1992,-0.10102496231475705
1993,-0.16415054390979325
1994,-0.11529522275527959
1995,-0.17820975909827277
1996,-0.08746792924536584
1997,-0.10747402442508192
1998,0.03635814268891002
1999,0.02125976334408708
2000,-0.10096734381861117
2001,-0.2890793473301899
2002,-0.3061748582794711
2003,-0.24957645070772772
2004,-0.25380447124386385
2005,-0.19630040574662666
2006,-0.052000772651510596
2007,-0.2971200451405751
2008,-0.29351790319391324
2009,-0.12471653131692773
2010,-0.11735443808389956
2011,-0.22492330007886097
2012,-0.2335771164690591
2013,-0.05409074658068702
2014,0.0016967604076241205
2015,-0.0592678581692212
2016,-0.22345543863546968
2017,-0.11322287174607926
2018,-0.3358170040954467
2019,-0.16856441469356365
2020,-0.06005452870656525
2021,-0.12549768314069287
2022,-0.28733969999616393
2023,-0.09930371672024707
2024,-0.11150187742324036
2025,-0.2965900338960281
2026,0.02167761352857056
2027,-0.014652701876233465
2028,-0.026986857041512824
2029,0.07990050677621863
2030,-0.17432822657376534
2031,0.09459807471174364
2032,0.06991976500866248
2033,0.06006101353294557
2034,-0.17119867536998257
2035,0.0111210856194639
2036,-0.14980425036706269
2037,0.007917039786303981
2038,-0.17639260893544728
2039,-0.1307597894967647
2040,-0.09124079062496038
2041,-0.12101033086821289
2042,-0.0321857310716136
2043,0.055333877406284815
2044,-0.20005787815902165
2045,0.0010101373396842472
2046,-0.04648360739440549
2047,0.12541411413987125
2048,-0.13434852863383062
2049,0.02316566602158998
2050,-0.05062457774049456
2051,0.028560442411690534
2052,-0.11284666679225097
2053,0.09580010155963992
2054,0.11531764713898118
2055,-0.04908003153683227
2056,0.27610345783925627
2057,0.18733834512181557
2058,0.03079287948129128
2059,0.31014642384843194
2060,0.17552892004927623
2061,0.05396859676591914
2062,0.2907416558740512
2063,0.21516362522730548
2064,0.059874913926204254
2065,0.08052106450149266
2066,0.31857397336873206
2067,0.24069949955234504
2068,0.1497500545246493
2069,0.056625391856408136
2070,0.21048443912211035
2071,0.20032865698359492
2072,0.020417236143968953
2073,0.26066917899779796
2074,0.08994697897769877
2075,0.21438540226550407
2076,0.24576038948830092
2077,0.18944780287676766
2078,0.494281825355253
2079,0.32967968772151846
2080,0.13047146383329444
2081,0.48773600743205137
2082,0.5538014289220765
2083,0.19287591326890308
2084,0.22685487249872116
2085,0.2924163622415157
2086,0.12594382598677267
2087,0.37278027305265304
2088,0.2834959785312572
2089,0.1683272722574114
2090,0.3190627780850184
2091,0.18562307585518534
2092,0.1675068963282067
2093,0.4311344539718185
2094,0.35900650082491037
2095,0.6488533894000321
2096,0.41273729956841976
2097,0.3940902206895198
2098,0.41101301964747217
2099,0.3701084072077352
2100,0.36825103426667916
2101,0.38994426730331
2102,0.2550836092185462
2103,0.31881109630287785
2104,0.22743362316909455
2105,0.5102757005105811
2106,0.46554766833900985
2107,0.17917012691024858
2108,0.4423563627852922
2109,0.2398806648826417
2110,0.30425349263804424
2111,0.3957966423860615
2112,0.36729260238803807
2113,0.31041313990500274
2114,0.5877420899991321
2115,0.415563611935331
2116,0.5281778018803358
2117,0.40045060686462897
2118,0.34077657193453437
