,tas,rlut,rsut,rsdt
0,286.81872078522616,238.96191151247265,101.20949873655088,340.27084284342453
1,286.81899457334583,238.85264454198284,101.42902150907135,340.27084284342453
2,286.7273805675576,238.71665303075827,101.42488568987874,340.27084284342453
3,286.77522534792973,239.1869145460623,101.267207649269,340.27084284342453
4,286.82193921689986,238.77571177935172,101.42864783956036,340.27084284342453
5,286.79558388954916,239.14246909555902,101.34890892438098,340.27084284342453
6,286.8605118290695,239.08245787287362,101.29990947530081,340.27084284342453
7,286.8535839443357,239.08736721564904,101.18826679663535,340.27084284342453
8,286.80324766435723,239.12765668613284,101.4349316128032,340.27084284342453
9,286.819666467756,239.0611616090208,101.30544626110164,340.27084284342453
10,286.77384934387845,238.9969000714341,101.60441461691416,340.27084284342453
11,286.8128110268127,238.86124985127933,101.49297940307484,340.27084284342453
12,286.83578474634743,239.1170680775267,101.40732931763974,340.27084284342453
13,286.8224711215541,238.84412837079915,101.6886953124225,340.27084284342453
14,286.78368041147326,238.87736932023668,101.61491740705884,340.27084284342453
15,286.78904022302754,238.9768367306026,101.5522237856181,340.27084284342453
16,286.8192290191857,238.9248325158225,101.36117496580802,340.27084284342453
17,286.81911105329874,238.69037752902975,101.71697458511777,340.27084284342453
18,286.7943950278985,238.74485752624864,101.44902495519335,340.27084284342453
19,286.86859907738904,238.99978996352738,101.48418305019992,340.27084284342453
20,286.81807737299283,239.1953673731562,101.30491642497005,340.27084284342453
21,286.7792327576384,238.6953962182442,101.5454852793407,340.27084284342453
22,286.84150419224903,239.1867036929705,101.59696041603422,340.27084284342453
23,286.77329795451755,238.81959808157967,101.55011944802574,340.27084284342453
24,286.8186270188379,239.08412975500778,101.44827606150422,340.27084284342453
25,286.6999037881571,238.60489529030576,101.55932905496753,340.27084284342453
26,286.8300811057362,238.95520005586602,101.4151613078526,340.27084284342453
27,286.8606942875348,238.98992363877275,101.52354145758359,340.27084284342453
28,286.7848597654474,238.8622958308413,101.45865825884015,340.27084284342453
29,286.78468607916733,238.98778297010324,101.52133289121151,340.27084284342453
30,286.8011855097328,238.92979262016198,101.68750952323582,340.27084284342453
31,286.72145349192067,238.58184884419174,101.67718885729573,340.27084284342453
32,286.81618834746496,238.8520465718801,101.43368675097018,340.27084284342453
33,286.8288761957936,238.7622516141523,101.48006307500616,340.27084284342453
34,286.834261426282,238.72905664244135,101.57589303565527,340.27084284342453
35,286.76382997024695,239.0620313010843,101.36281116896497,340.27084284342453
36,286.823647136416,238.76042048936299,101.57150819127054,340.27084284342453
37,286.85760088908927,238.9133508711734,101.3606886334258,340.27084284342453
38,286.8170316503634,238.67513992625354,101.55778901671937,340.27084284342453
39,286.7653466889726,238.82714820487638,101.46627053132408,340.27084284342453
40,286.8576077066064,238.78448817446807,101.59825198781353,340.27084284342453
