Year,tas_diff
1850,0.09948860941282157
1851,0.2455950086757279
1852,0.22806842497021335
1853,0.2513906262482186
1854,0.23392262341457692
1855,0.14967521009092807
1856,0.056276809078822695
1857,0.013377760988810343
1858,0.21545372845606084
1859,0.10985870281323161
1860,0.062280727176669826
1861,0.3393105049209285
1862,0.26334239043297647
1863,0.2748098976140707
1864,0.26280978920695347
1865,0.2692237630382213
1866,0.06825963560725715
1867,0.0008518305933580272
1868,-0.10390253289988871
1869,0.1454674607109762
1870,0.024415026513182055
1871,-0.06922053525419251
1872,0.2161418592279102
1873,0.10459442628376689
1874,0.08632893764261174
1875,0.0680431380931539
1876,0.17133489599077611
1877,0.1709029450862202
1878,0.023589253152417416
1879,-0.19106057533817675
1880,0.04057414017747841
1881,0.17627793480651877
1882,-0.0530306077158937
1883,-0.0826308887854431
1884,0.10013154606560949
1885,0.028196712964421874
1886,0.0014821456706691563
1887,0.020153400041263696
1888,0.06098391335792033
1889,0.11682644879809986
1890,0.10662772005225386
1891,0.13813922578989513
1892,0.2524183436772287
1893,0.14606700275745488
1894,0.12815673006156103
1895,0.18877619469228724
1896,0.22104578243374756
1897,0.2088896054525699
1898,0.02514550120575465
1899,0.10541979888627262
1900,0.05249941869084883
1901,0.13337238120822167
1902,0.30380172604061256
1903,0.2276472611455981
1904,0.03417602297414904
1905,0.10624561065092203
1906,0.004151704223451083
1907,-0.008228765660439175
1908,0.23498041516889237
1909,0.12573314590588044
1910,0.13774581702318597
1911,0.10863990811473714
1912,0.1205193550016273
1913,0.02463954107001769
1914,0.05895599673931154
1915,0.21821215149117162
1916,0.07761858912226509
1917,0.0566667816269914
1918,0.022231728452180785
1919,0.264056086557953
1920,0.229922655628638
1921,0.022566988057432985
1922,0.06480946285698672
1923,0.08641968305220368
1924,-0.1360572932986231
1925,0.05500845761137965
1926,0.1285719701769421
1927,0.028040272516754228
1928,0.042165459056364485
1929,0.15690933066006596
1930,0.03538819626965804
1931,-0.14324414367169025
1932,-0.11917732564700273
1933,0.0138762450914936
1934,0.20424627007961782
1935,-0.059452696615301226
1936,-0.3163253749892628
1937,-0.09955712054540419
1938,-0.19256240508748562
1939,-0.13086989058780965
1940,0.0205958888776641
1941,-0.035334859780618205
1942,-0.1693606452929539
1943,-0.07969242698916532
1944,-0.25317663660421286
1945,-0.03156432601791055
1946,0.027296367509408136
1947,0.15034515878875435
1948,0.22683563569134074
1949,-0.1198742262087453
1950,0.07726695835629682
1951,-0.05248691153323515
1952,-0.20591903260236225
1953,-0.08465379864639008
1954,0.011898541579857091
1955,-0.10697298157692348
1956,-0.18505392593891057
1957,-0.11767552368884923
1958,-0.11473537623518884
1959,0.09211409766949039
1960,0.11280542728347435
1961,-0.019654884740480258
1962,-0.029445351132718012
1963,-0.1895425802490426
1964,-0.2688278558908317
1965,-0.05001842476098789
1966,-0.12241818714823771
1967,-0.17149945162007432
1968,-0.19862146848485324
1969,-0.14264161906811387
1970,-0.049822513840176046
1971,0.0791468293523189
1972,-0.11736265456516375
1973,-0.3802833462024107
1974,-0.21317209587750263
1975,-0.040349312308094826
1976,-0.17994500799541102
1977,-0.26181449029154924
1978,-0.3416541868425439
1979,-0.26630184283670755
1980,-0.07385689221220945
1981,-0.32788549484117957
1982,-0.3581046389517264
1983,-0.12665467925620044
1984,-0.27322209510178763
1985,-0.24666404190924496
1986,-0.11339084168623242
1987,-0.03910367071499493
1988,-0.22824764173050888
1989,-0.2664329952815395
1990,-0.13716998902096111
1991,-0.05260132981383808
1992,-0.10102496231475705
1993,-0.16415054390979325
1994,-0.11529522275527959
1995,-0.17820975909827277
1996,-0.08746792924536584
1997,-0.10747402442508192
1998,0.03635814268891002
1999,0.02125976334408708
2000,-0.10096734381861117
2001,-0.2890793473301899
2002,-0.3061748582794711
2003,-0.24957645070772772
2004,-0.25380447124386385
2005,-0.19630040574662666
2006,-0.052000772651510596
2007,-0.2971200451405751
2008,-0.29351790319391324
2009,-0.12471653131692773
2010,-0.11735443808389956
2011,-0.22492330007886097
2012,-0.2335771164690591
2013,-0.05409074658068702
2014,0.0016967604076241205
2015,-0.13215552802312014
2016,-0.1908726542636725
2017,-0.36037647336442225
2018,-0.15683964964371788
2019,-0.08258962193228503
2020,-0.10419748106685178
2021,-0.23525570800751217
2022,0.04980028396792546
2023,0.1265705642974968
2024,0.006501626155138052
2025,-0.22127716406464715
2026,-0.1187868041836937
2027,-0.201448949801331
2028,-0.27974789910848186
2029,-0.08306592773116073
2030,-0.22339379263773518
2031,-0.15128647989652322
2032,-0.10605990233765139
2033,-0.18211941438051982
2034,-0.15111169967864324
2035,-0.04966148494005007
2036,-0.341766885169116
2037,-0.30246276705783837
2038,0.1001245153069179
2039,0.002782009563340626
2040,-0.2160231926541205
2041,-0.11037113564115231
2042,-0.0979854872532071
2043,-0.17400009062622246
2044,-0.23501654174202402
2045,-0.33489278747528584
2046,-0.08835362885020803
2047,-0.07217697557394986
2048,-0.15513719326030673
2049,-0.10056358071251914
2050,-0.07761242614137887
2051,-0.08919664855751464
2052,0.0012062724797283764
2053,-0.055010073456619235
2054,-0.14652309597656243
2055,-0.25666275924675075
2056,-0.1077135746328497
2057,0.07091124280093641
2058,-0.07794120721378484
2059,0.18750200450040921
2060,0.1389668960599031
2061,-0.09634677380722145
2062,-0.0060929788630375015
2063,0.021880393072631232
2064,-0.015376644102890857
2065,-0.22003651060526375
2066,-0.0719356313507471
2067,-0.3333739926092507
2068,-0.20813981560033357
2069,0.10960142359774583
2070,0.1280621733200249
2071,-0.1341896380012706
2072,-0.15015947024321497
2073,0.07398011311074981
2074,-0.019002094613085774
2075,0.033434600035443296
2076,-0.03961748213645411
2077,-0.04392509673149636
2078,-0.20174907025970334
2079,-0.007765501698857591
2080,-0.08024029916372744
2081,-0.11649267937427954
2082,0.0072026747479441156
2083,-0.10594460851714871
2084,-0.06886518647496231
2085,-0.07592392956109428
2086,-0.05569274306594707
2087,-0.008290996960081287
2088,-0.12520203591751766
2089,-0.15352804971377765
2090,-0.104976649837913
2091,-0.09459027086818761
2092,-0.061320181477457325
2093,-0.04463572202108246
2094,-0.05400715805749634
2095,0.06803631952566036
2096,-0.09928283248614189
2097,-0.07918547466266368
2098,-0.02837534366054495
2099,0.03454899251875876
2100,0.14448275986053005
