Year,ERF
1850,0.15030994754211954
1851,0.1741124292492788
1852,-0.2927907543109947
1853,0.2688509884865472
1854,0.4775461908282783
1855,0.2878215956857513
1856,0.19981943344263103
1857,0.13709273390948848
1858,0.28028269102200287
1859,0.5777430240116457
1860,0.49748350690670784
1861,-0.49018950027795377
1862,-0.14946820089806734
1863,0.4499751743740092
1864,-0.11374888591014126
1865,-0.34789864758851813
1866,1.0321725157762451
1867,0.13949581050683044
1868,-0.22780730899969137
1869,-0.24783035503269174
1870,0.6909587387110536
1871,0.9025996211811861
1872,0.24759374929986822
1873,-0.41324485886983275
1874,-0.2250534512387459
1875,-0.21132825329496346
1876,0.6469011726475142
1877,0.8162159672975307
1878,0.5555145551800391
1879,0.14569251169785072
1880,0.05446060368060368
1881,0.6051192509732157
1882,-0.16325846595744703
1883,-0.9155591949798232
1884,-1.5950080002762541
1885,-0.37743265332241194
1886,-0.6382425554126729
1887,0.11329127327904989
1888,1.1944449778837856
1889,1.5620069213476864
1890,0.2649321166051459
1891,-0.5185463504271134
1892,0.45549533601789527
1893,0.21601342771653015
1894,-0.3340877637667151
1895,-0.006234369005933285
1896,0.607265254883837
1897,0.3025653894278938
1898,0.21373486039667014
1899,0.47041419764953607
1900,0.05457093575952343
1901,-0.5282105257416982
1902,-0.03230886359151054
1903,-0.7541204944264162
1904,-0.2681068810859378
1905,0.5450733662433375
1906,0.827303147532544
1907,1.173889838186538
1908,-0.09110145652087348
1909,-0.33402355348564927
1910,0.30912363473741744
1911,0.48452613112306475
1912,-0.42586828153517375
1913,0.07743785040611816
1914,-0.30822003890272787
1915,0.13273924645022905
1916,0.51069824954266
1917,0.9232937098877999
1918,0.8593065629312573
1919,-0.2214396250748789
1920,-0.06263569004986813
1921,0.20530770221164235
1922,0.9020761831972575
1923,0.8593953792451626
1924,0.06865083896677848
1925,-0.06953756751830154
1926,0.20027531534765297
1927,0.8915656576435178
1928,0.06248010814742849
1929,-0.4175677081295475
1930,0.16074571797583803
1931,0.722904035471583
1932,0.538843059719398
1933,0.2764252832306874
1934,0.2810366197572294
1935,0.3399708524975412
1936,0.46217558948045434
1937,0.3293419271286337
1938,0.21055061001884898
1939,1.1946517230503104
1940,1.0281243595231466
1941,0.5733359158461603
1942,-0.14802489053513396
1943,0.3265081779382977
1944,0.7847756929286964
1945,1.6460940909339
1946,0.492980516607791
1947,0.04188330741312307
1948,0.5362057766197345
1949,1.1555642995920827
1950,1.032579961652101
1951,0.037887922608430824
1952,-0.07402107949829742
1953,0.48833678685125304
1954,1.2199066290962985
1955,0.41091615933134157
1956,0.015399353544600869
1957,0.1419178475834807
1958,0.6876171719471657
1959,1.0374968434418983
1960,0.6183365108490213
1961,0.3252601101984832
1962,-0.11105332477725371
1963,-1.55270071991358
1964,-0.6638089557870295
1965,-0.5342404249988113
1966,-0.2340638040265677
1967,0.9005745334024389
1968,1.3391377202285097
1969,1.309815427666457
1970,0.6446362529520013
1971,-0.04126850602435628
1972,0.6491003131854607
1973,0.6730619982318446
1974,0.8591031477990967
1975,0.05663666639057757
1976,0.31940362173703085
1977,1.3625211660886178
1978,1.0213156022737429
1979,0.9053075680674114
1980,0.2990995045655232
1981,0.06829029656978253
1982,0.7614572443194307
1983,1.2128121958733113
1984,1.3621277283230184
1985,0.5571144031616552
1986,0.5327912086340538
1987,1.1318146239891802
1988,1.6010972720019434
1989,1.8121478392143808
1990,0.9910529685992407
1991,0.2950914791635795
1992,-0.7968295865586532
1993,0.6160484084117859
1994,0.9064055982874537
1995,1.373442648013107
1996,1.5676002265049194
1997,1.6056272784765357
1998,1.7260737844356147
1999,2.3294844013832146
2000,2.3757667431888834
2001,1.8912887270382366
2002,1.5724315164674358
2003,1.6470489355823599
2004,2.106910866491184
2005,2.0543598468286266
2006,1.1481186538981314
2007,1.1298115709877141
2008,2.0879471164711836
2009,2.5207422618943927
2010,1.6701974369422146
2011,2.1506753484682664
2012,3.155712533584896
2013,2.971906537879664
2014,2.9237565859566708
