Year,ERF
1850,-0.6132873254928253
1851,-0.43553506358563787
1852,-0.025746222063446955
1853,-0.09362336640372242
1854,0.05706851869374312
1855,0.4175918665587657
1856,0.38679383217712376
1857,-0.21574858619610288
1858,-0.37196591329815654
1859,-0.3897718559801949
1860,0.10045151545279074
1861,-0.6306748769141335
1862,-0.6637055705260292
1863,0.2477891201604957
1864,-0.1469562395456427
1865,0.09675764647893323
1866,0.3515862752042652
1867,0.09729541847139213
1868,-0.20559996179511283
1869,-0.6246223159665703
1870,0.4694161371840601
1871,0.29491049220790055
1872,-0.1873157902565464
1873,-0.3244699671402432
1874,-0.48473644782161773
1875,0.38692721470784874
1876,-0.05648203356514112
1877,-0.29573028385795813
1878,0.10966727813518107
1879,0.26645124632080625
1880,0.3688957520005032
1881,0.07687605348341534
1882,-0.4761154429090111
1883,-0.8578936206212802
1884,-1.8549448771360602
1885,-0.6213552266595546
1886,-0.49614329591612055
1887,-0.7165229244191226
1888,-0.10077799595372178
1889,-0.29542839879543953
1890,-0.6223967132927297
1891,0.11255054919541865
1892,0.40289220551878185
1893,0.9150735514948867
1894,0.816809753112305
1895,-0.28851589726105065
1896,0.3104171990361003
1897,0.015125146154496664
1898,0.9139571020732156
1899,0.4448422976959162
1900,0.24912250965555818
1901,0.4057778706828349
1902,0.2413755276552455
1903,-0.403241860549537
1904,-0.17111490457612177
1905,-0.5230932754348617
1906,0.6186680723503738
1907,1.0590817398884567
1908,0.3614396034002854
1909,0.4294839158368552
1910,0.5820791615737758
1911,-0.05634432583451493
1912,-0.5622725760103827
1913,0.09959347093768438
1914,0.1362105012113832
1915,0.1183422531828082
1916,0.3877116475403732
1917,0.3472299890114037
1918,0.4984926152432856
1919,0.8038969267962548
1920,0.8370474835915129
1921,0.2967186472655361
1922,-0.655624326755193
1923,0.3889221967340957
1924,0.46883801950505244
1925,0.6592046619003611
1926,0.8651106321052435
1927,0.4690379532361367
1928,0.4623482727448466
1929,0.03615200632112803
1930,0.3917103432806439
1931,0.31926590290121687
1932,-0.07183308549546477
1933,0.19412408145885704
1934,0.51457280422425
1935,0.8699850802266983
1936,0.6387106671535961
1937,0.05412051979133348
1938,0.43839058369947537
1939,1.1250644343836178
1940,0.8053021702057341
1941,0.13586159797489777
1942,-0.10255586511319614
1943,0.4284777362875961
1944,1.068592930459475
1945,0.7561433165607225
1946,1.420547202310984
1947,1.2250011397326985
1948,1.2550650502843401
1949,0.7361386096273038
1950,1.2784816348390335
1951,0.7583804105933414
1952,0.4659032043011506
1953,0.736643777706633
1954,0.7919866898485125
1955,0.5896720248435897
1956,0.5607666119455692
1957,0.5857567669411021
1958,1.1466567784894515
1959,0.8356096319818703
1960,1.2472117767257398
1961,1.463881202993949
1962,0.9094191783279562
1963,-0.6972447255975964
1964,-0.8681837667307887
1965,0.355621440972633
1966,0.8845750270920854
1967,1.0634909174040237
1968,-0.08980742662105445
1969,0.5247651567019123
1970,1.0792789992819847
1971,0.9892991685609256
1972,0.613071156191704
1973,0.11178593766156697
1974,1.1432653779770297
1975,1.0424751078666161
1976,0.7250555662818341
1977,1.2672282212805945
1978,1.3133024829693207
1979,2.06623290701018
1980,1.5505265917153472
1981,1.0406783410058438
1982,0.2793859909142762
1983,0.7037622847025188
1984,0.9111798605996123
1985,0.5556856454115969
1986,0.9407377224669058
1987,1.9653695048620008
1988,1.6970665320127432
1989,2.4607539961808325
1990,2.103233456099071
1991,0.8121003165547249
1992,0.5794194706735525
1993,1.1154036091490727
1994,2.5616939864701482
1995,1.4952179150545233
1996,1.571967585191959
1997,1.9949160858943928
1998,2.614832327523094
1999,3.0439040294472646
2000,3.259220343132159
2001,2.136122253635827
2002,2.1407985136113092
2003,2.4228521856589955
2004,3.2435981248451196
2005,2.5215033204694244
2006,2.217952452433898
2007,2.325001260573477
2008,2.480939393277334
2009,2.5925997871736324
2010,2.919872772565316
2011,2.4706508621267007
2012,2.3111456388397986
2013,3.070581522341868
2014,3.1267309265681487
2015,2.940090206145084
2016,3.2389990177285806
2017,3.027898887275243
2018,3.167696420826289
2019,3.015423661437548
2020,2.4813296932702142
2021,3.0785059182598347
2022,3.6974085003485633
2023,3.1242289731143202
2024,3.055561362031283
2025,3.5070520760994066
2026,3.9926821106472006
2027,3.453641972181081
2028,3.310872504544789
2029,3.2178439527155325
2030,3.735410552232582
2031,4.204853948680071
2032,3.7431939516357655
2033,2.5894860230461125
2034,3.5981342369074314
2035,4.545605070977289
2036,4.883211035293881
2037,4.473328577453517
2038,4.270961320060185
2039,4.73866673554359
2040,4.600703361213039
2041,4.643807808642646
2042,4.404695191830495
2043,4.671117759725595
2044,5.256051112906703
2045,5.253652054636156
2046,4.466006818724955
2047,5.4072783595983065
2048,5.039030156129946
2049,5.584482375428607
2050,6.162047941248015
2051,5.976682751993805
2052,6.02087949295618
2053,6.050060028449639
2054,6.46798282047158
2055,6.385705686064526
2056,5.831262331629461
2057,6.480141148565271
2058,6.891012995002321
2059,6.72506666206918
2060,6.598705013964866
2061,6.726112219663274
2062,6.868824483018653
2063,6.162028153347835
2064,6.444140339828009
2065,6.792576002345307
2066,6.882503277696145
2067,7.364100765655606
2068,7.481864425994434
2069,7.192864761917991
2070,7.75282808824578
2071,8.398030578378822
2072,8.342545115428486
2073,8.369767759850312
2074,7.988065323351046
2075,7.497839529104674
2076,8.153340148595426
2077,8.29388028226646
2078,8.704862822032357
2079,8.766002385999748
2080,8.10339497751283
2081,8.985072883894752
2082,9.262684297401387
2083,8.993868253000871
2084,8.642142517599051
2085,9.038194930227071
2086,8.998379582303428
2087,8.79300221274349
2088,9.113260235520631
2089,9.571181554533247
2090,10.329131239270861
2091,9.805436518945475
2092,9.308352688047808
2093,9.675968586392639
2094,10.794579717394338
2095,10.787365542653287
2096,10.273405135528252
2097,10.912414362266407
2098,10.745120347343045
2099,10.389123087143899
2100,10.246761324629361
