Year,ERF
1850,0.14580394306931424
1851,0.7826491596285678
1852,-0.38587806669945524
1853,0.09023546238080989
1854,0.5571172465388894
1855,0.48751714341082464
1856,0.36857089549427446
1857,-0.11419338042585594
1858,0.0565665129341505
1859,0.36745531487079275
1860,0.4551553597277064
1861,-0.5516077242801682
1862,-0.22872465491259486
1863,0.45572938638391014
1864,0.9267817210305553
1865,0.1291823151815737
1866,0.2708652819238841
1867,0.39613493719681836
1868,0.284140909050123
1869,0.5478407794057267
1870,0.30888024866630953
1871,0.09069096500603019
1872,0.5825749080939112
1873,0.16318957158995165
1874,0.5017090107810593
1875,0.2946231565534106
1876,0.5003605000006913
1877,-0.14502051607465644
1878,0.6736184191600236
1879,-0.038359560199007214
1880,0.278195023214735
1881,0.12673912042026259
1882,0.5810074096032649
1883,-0.9554957178177329
1884,-1.360732680706584
1885,-0.258690327583311
1886,0.7073653678889951
1887,0.1473731592544341
1888,0.6122579684440098
1889,0.7788386504476321
1890,0.6030052617915707
1891,0.07535001942005987
1892,0.31901333089205375
1893,0.19419261545820415
1894,0.5842411019693867
1895,0.14592350955385053
1896,0.31112632817572633
1897,0.169467746963052
1898,0.19326245909897305
1899,0.49218964718563624
1900,0.7735338897623507
1901,0.7290838399323993
1902,0.34011556846677493
1903,-0.7977281606447517
1904,-0.1483529088140143
1905,0.346837876448186
1906,0.6883169845445827
1907,0.5250525356479596
1908,0.3295837775290351
1909,0.8027162421109677
1910,0.30791892767745443
1911,1.0270641307262753
1912,0.2458477937208422
1913,0.17714045496334208
1914,0.6401201797832596
1915,0.5173010841410044
1916,0.16885612240979087
1917,1.1847222043582502
1918,0.8604589013793833
1919,0.8835150924331142
1920,0.7412326708081953
1921,1.0410752673611032
1922,0.14624195649371208
1923,0.13371233805887345
1924,0.7807782666575683
1925,0.16525435042785142
1926,0.25706381444278914
1927,0.6174201470006608
1928,0.28461152861338745
1929,-0.15770706544221375
1930,0.5195377087899333
1931,0.7890079959705447
1932,0.41814872060495656
1933,0.18110139159745553
1934,0.31976001996639397
1935,0.8125753718482358
1936,0.06380811855961949
1937,1.0364803314577433
1938,0.1866956704243921
1939,-0.27255170442412113
1940,0.3327435323127986
1941,0.6763357555733277
1942,0.2658549536271815
1943,0.21408569193054786
1944,0.17653995673688633
1945,0.272203666949209
1946,0.4018141576183517
1947,0.2512378763024197
1948,0.7026035151336929
1949,0.6143638771611063
1950,0.6643313235034458
1951,0.20679046602159065
1952,-0.17492418438811494
1953,0.27295406524718396
1954,0.16015497009664165
1955,0.2739815333575177
1956,0.3165203798680011
1957,0.3782377092096284
1958,0.604252259887574
1959,0.5799874052021565
1960,0.09917265798794614
1961,0.15150924292477266
1962,0.04270031286200844
1963,-1.1013106867776477
1964,-1.460492100531472
1965,0.18855641912379084
1966,0.7284653131039992
1967,-0.18983990665083192
1968,0.4086874035491387
1969,0.2524896365984824
1970,0.6588650959953859
1971,0.6618256589681936
1972,0.6036417473802529
1973,1.082091903710875
1974,0.9401575678699267
1975,0.4767121106351366
1976,0.6049811891465229
1977,1.2929568044136783
1978,1.2542623965264283
1979,0.9554593897781479
1980,1.0284001775401292
1981,1.11652483884862
1982,0.4469791976858527
1983,-0.23262958228268937
1984,0.9372847784787166
1985,1.2927715160674573
1986,0.38376030124778826
1987,1.7051480324345563
1988,1.5090023221169069
1989,1.2406285785999118
1990,1.3964890086036443
1991,0.35131135473563935
1992,-0.821160252625789
1993,0.5260262763214661
1994,1.182254896382788
1995,0.9717751067734657
1996,1.011391594115449
1997,1.6767822139021216
1998,1.0347494165892832
1999,1.786651459351177
2000,2.0754050691717643
2001,1.3071933234283517
2002,2.009052681498699
2003,1.5971152362223073
2004,1.1799068250704179
2005,1.7729527433544008
2006,1.549881352406655
2007,1.5132812209947417
2008,1.718019451233216
2009,1.3988183431367895
2010,1.723890314364924
2011,2.0574180731344107
2012,1.9311701048274068
2013,1.7652329547368169
2014,1.5061735407582375
2015,2.350311038385313
2016,2.041858287916164
2017,1.7687109913491745
2018,1.9422866781967683
2019,1.718023972483551
2020,2.1070577753513113
2021,1.9409960821208359
2022,1.753995266569282
2023,2.901872789403628
2024,2.308936283371362
2025,2.4752876985394394
2026,2.0844054989837737
2027,2.8482567097809586
2028,2.761464497386714
2029,2.309775457799933
2030,2.4588248917735314
2031,2.5457492296425173
2032,2.9370266632143576
2033,3.1772309131377616
2034,2.436802536775051
2035,2.6377845049839213
2036,3.2077150593809987
2037,3.1448319884206777
2038,2.879778540194046
2039,2.325906233358225
2040,3.452576891504691
2041,3.1389984135679363
2042,3.2342992141729674
2043,3.2871915299269494
2044,2.920323036074727
2045,3.160551832092724
2046,2.5730915977914814
2047,3.842371407217774
2048,4.137651525386769
2049,3.3799492615739877
2050,3.2641541370807436
2051,3.68482925937964
2052,3.618410620760001
2053,2.7362637463059234
2054,3.6937537071264392
2055,4.009906262802991
2056,3.873837851494339
2057,3.5583848109142555
2058,3.5502375187547286
2059,4.047769346697326
2060,4.304070823522924
2061,4.134761552257153
2062,3.8297865086940526
2063,4.006876953697931
2064,4.299677823010296
2065,4.032540735163193
2066,4.079002497306063
2067,4.6157738882792785
2068,4.355191604124959
2069,4.604707407114863
2070,4.624070191485
2071,4.476457360305686
2072,4.832095135647101
2073,4.34101835654617
2074,4.609042196802481
2075,5.245243100300754
2076,4.8262604341410675
2077,4.98258936990165
2078,4.716620629920278
2079,5.612238435438943
2080,5.123988484522649
2081,5.088783719852276
2082,5.0180687114044185
2083,5.359947279940181
2084,5.546625549634902
2085,4.535379627823887
2086,5.339965016246616
2087,5.37629887461908
2088,6.3748167587933295
2089,5.427803183728698
2090,5.307580520902775
2091,5.2370960443067265
2092,6.020794795979034
2093,5.302342349677126
2094,6.097040283364134
2095,6.351628194139881
2096,5.517510367587753
2097,5.418402988538011
2098,6.351318350464209
2099,5.448529381329179
2100,5.868952733748764
