Year,ERF
1850,0.3132103927873303
1851,-0.04177105075404544
1852,-0.2306117570230421
1853,0.5029400235436249
1854,0.3728301480181191
1855,-0.3683013502655924
1856,0.1163258011802856
1857,0.4482231265966711
1858,0.062177449672605106
1859,0.22740802136257382
1860,0.15136584793311306
1861,-0.4530691943099261
1862,0.24006642979873413
1863,0.24118060401374608
1864,0.4386998730925967
1865,0.7197356024500314
1866,0.47041792693855544
1867,0.3040236365845207
1868,0.4052355429430857
1869,0.5997918385191701
1870,0.2779967655862896
1871,0.8710537840760604
1872,0.48364717663299295
1873,0.7258413878662122
1874,0.651508148204043
1875,0.19177423244778774
1876,0.6369230140914108
1877,-0.016290520585947488
1878,-0.32880305618529976
1879,0.5093272178553749
1880,0.6734973789447118
1881,0.3057618467916106
1882,-0.693497760689935
1883,-0.6294725407198438
1884,-1.547098272480186
1885,-0.19328903044918566
1886,-0.04854043731762278
1887,-0.12081619855260003
1888,-0.1951143265750464
1889,0.6348065507228811
1890,0.5693342250303741
1891,-0.23301670651141243
1892,0.3267583472893504
1893,0.611329510883094
1894,0.4021064925090568
1895,0.8687792625495663
1896,1.2095431032961454
1897,0.28289177463287246
1898,0.7268558374139715
1899,0.29675334799606945
1900,0.33647700776901335
1901,0.23168692605122998
1902,0.0778060106120437
1903,-0.3415659347421259
1904,-0.16509224555948354
1905,-0.08863721978646938
1906,0.4449833472235904
1907,0.23248155319465427
1908,0.3343123747862764
1909,-0.052387031728465344
1910,0.6979318784534516
1911,0.5792975334502795
1912,-0.09946404186623994
1913,-0.39352974804680463
1914,0.7066625549852867
1915,0.1988750705116775
1916,0.9309663491949247
1917,0.46221119525737303
1918,0.7696782493201846
1919,0.639282624374903
1920,0.12108381736814516
1921,0.17411620361305957
1922,0.8747577380430168
1923,-0.01160554629232985
1924,0.3222543705547136
1925,0.8246871156932418
1926,0.9131552825389326
1927,-0.05018799054848183
1928,0.6352977281211912
1929,0.22423195053504746
1930,0.5005853193927943
1931,0.3002211144485567
1932,0.4586741225986617
1933,0.29634567021108693
1934,0.8115755838068508
1935,0.5953778504103651
1936,0.5348471889625483
1937,0.6311482990204716
1938,0.04027345361238527
1939,0.5999374945918874
1940,1.6395076859649764
1941,0.39824921055708473
1942,0.1849200545921117
1943,0.989617481668359
1944,0.942709630948306
1945,0.8814087452857515
1946,0.6196684880226744
1947,0.8365337326097134
1948,0.6162385290473827
1949,0.7473517193101448
1950,0.286828669433199
1951,0.5241859209491622
1952,1.1164448106978673
1953,0.5017118288608557
1954,0.48283422544624177
1955,-0.6812292530237846
1956,0.9670407436157482
1957,0.9982683042267653
1958,0.5733763830466674
1959,0.7338885328443912
1960,0.13374753002827022
1961,0.3631750479710353
1962,-0.27363776385531413
1963,-0.4568642800789171
1964,-0.1513255087759191
1965,0.07166829326315562
1966,0.29123870337767827
1967,0.39709140843574786
1968,-0.04628023011139837
1969,0.5408502964043655
1970,0.9360527487987826
1971,0.38621491731511426
1972,0.639404840318696
1973,0.7943922814197011
1974,0.6371884203599512
1975,0.5730878730022176
1976,0.8725769349523609
1977,0.5023950641677107
1978,0.432315071274645
1979,1.286705043945629
1980,1.7265733401123358
1981,1.216264336415021
1982,0.6017554915383933
1983,0.36960860487618163
1984,0.12973299601250254
1985,1.1091760432353333
1986,0.466656995013754
1987,0.9616088398394752
1988,1.342607639909668
1989,1.0057688091006405
1990,1.9137783364202623
1991,0.21612006760220248
1992,-0.24162489673678073
1993,0.5005154720296275
1994,1.2899372779754765
1995,1.493281272144995
1996,1.8143112098940026
1997,1.2556695240209945
1998,1.9539318169759126
1999,1.7622788122353963
2000,2.2946473845338775
2001,1.7490576994912148
2002,1.9662728632209425
2003,1.8446712111737078
2004,1.9803454639915379
2005,2.352602426873668
2006,1.9991977173825224
2007,2.1484854924973655
2008,2.236449284252671
2009,1.8142937743873537
2010,2.2112416101549766
2011,2.165517380958276
2012,2.638231518289075
2013,2.008171389415658
2014,2.8823831316840485
2015,2.6813388461246297
2016,2.1622820142850605
2017,2.121280649480433
2018,2.684655825019812
2019,2.4354288390972183
2020,1.7587837505245605
2021,3.303210970925517
2022,3.5314967336755307
2023,2.5474132991928045
2024,2.923848460414942
2025,2.999759341865996
2026,2.6671415061503856
2027,2.7438334707784247
2028,3.071050268829166
2029,2.8913221732233936
2030,2.414713520015575
2031,3.033456288990378
2032,3.1660623400415524
2033,2.268309398924692
2034,3.824753496192869
2035,3.2036799722035467
2036,3.435043599859261
2037,3.929786151548342
2038,3.693245792410843
2039,3.057561215833453
2040,4.015627023758517
2041,3.870133459272294
2042,3.732049102388218
2043,4.013887157658163
2044,3.577304871497863
2045,3.841787967753845
2046,3.9495797275767432
2047,4.310140892944428
2048,4.6698397903227935
2049,4.749066991465182
2050,3.6745228354576076
2051,3.825503006922883
2052,5.404414824155113
2053,4.878816886243816
2054,4.778470307743623
2055,4.08056141651018
2056,5.12040132227321
2057,5.348397836716042
2058,4.570954616327581
2059,4.9332029406193865
2060,4.581118609509123
2061,4.465508527379612
2062,5.477026010229135
2063,5.190863775251545
2064,5.352380145897966
2065,4.5116117923087256
2066,5.593565979831231
2067,5.257570864153601
2068,6.109061389540175
2069,4.8169159840064895
2070,6.198148606175254
2071,5.597726859381533
2072,4.8502123526980725
2073,6.243480416883234
2074,5.87547733048353
2075,5.97234605330309
2076,5.74707897758471
2077,5.791257697192836
2078,6.257052175463357
2079,6.817381866331837
2080,6.872556533927545
2081,5.355965348247905
2082,5.967039181068326
2083,6.716835117370691
2084,6.819880532776222
2085,6.23890769689777
2086,6.149947192342235
2087,7.092002105540794
2088,7.886887566164038
2089,6.826184596618086
2090,6.104769805444968
2091,6.5636018590478855
2092,7.104324201080301
2093,7.573121155094938
2094,7.440706608906147
2095,6.446052087258951
2096,7.360658680892394
2097,8.316218542032736
2098,8.090504902081264
2099,7.326389216987231
2100,7.29543845405991
