Year	ERF
1850	0.1272546317988252
1851	0.06748470467784744
1852	0.13120964130633475
1853	0.08812352718050617
1854	-0.060915733198304844
1855	0.3423427108765159
1856	-0.10745208019000352
1857	-0.29315298690624264
1858	0.3306146570839827
1859	-0.059101357503824184
1860	-0.36580389589529
1861	-0.44725478185249534
1862	-0.33320295537363104
1863	-0.35770693995788594
1864	-0.21930774454998136
1865	-0.052498422440759335
1866	-0.055281965870678934
1867	-0.2524980243482952
1868	0.004178632888428846
1869	0.36428961345333044
1870	-0.2407188534320019
1871	-0.030171553859402234
1872	0.7057764905520739
1873	0.08155021144266139
1874	-0.07950176835719958
1875	-0.270568299857592
1876	0.09065298319212386
1877	0.23524242256317351
1878	0.5306977644721491
1879	0.06719594024607012
1880	-0.4622060078505747
1881	0.03538826874908993
1882	0.27241160274559373
1883	-0.5629129947401397
1884	-1.685803104787647
1885	-0.6770768239798061
1886	0.22918866354478318
1887	-0.014461085083483288
1888	0.1504127856752965
1889	-0.11337302457572157
1890	0.09665160285910379
1891	0.27478273974188366
1892	0.5896473557297026
1893	0.20272887515306737
1894	0.20250202499950343
1895	0.012750866802790445
1896	0.47029496930746006
1897	0.0844596160378175
1898	0.22049725012164292
1899	-0.20996332953382313
1900	0.07417476000097795
1901	0.40052316664825455
1902	0.05869856430359915
1903	-1.1352091235606407
1904	-0.28505139842502025
1905	0.388860854272959
1906	0.43145236197482384
1907	-0.10097291738856279
1908	-0.02446997607108893
1909	0.4589339909648914
1910	0.1997045533415733
1911	0.3561815629148456
1912	-0.5093643706305389
1913	-0.590532646951655
1914	-0.08151697044845864
1915	0.2503686673794978
1916	0.45602764053480055
1917	0.39143284025788605
1918	0.2699888960969581
1919	0.21385877918690444
1920	0.5282126052109959
1921	0.6460061078777772
1922	0.27809662889988834
1923	-0.039313523242317294
1924	0.029249204925326303
1925	0.6676520614567482
1926	0.5127033630220666
1927	0.3384503932830252
1928	0.166618028465703
1929	0.13839787628091998
1930	0.2681837123760627
1931	0.8180010046461165
1932	0.21847546402433454
1933	0.2553528436965241
1934	0.1518682182707326
1935	0.6434089986616882
1936	0.8868314169394849
1937	0.6458471806617088
1938	0.4166886486570782
1939	0.3671292437714203
