Year,ERF
1850,0.41526613776551463
1851,0.33144463629138254
1852,-0.05489452784516332
1853,-0.34763970887070916
1854,0.3113180946439091
1855,0.0985657537718038
1856,0.8778544921778917
1857,0.15159125907947335
1858,0.00041505887140562414
1859,0.4991142210708545
1860,-0.004176191210895727
1861,-0.34760821652313034
1862,0.13332241424862162
1863,-0.3791488849924589
1864,0.9006365976237518
1865,-0.3792724458639675
1866,0.16584101577857574
1867,0.4917195203030466
1868,0.1906627294815283
1869,0.5205482568262834
1870,0.1241708163404105
1871,0.11716483558805574
1872,-0.03439444802555053
1873,-0.6876037320678623
1874,0.5605255465635494
1875,0.3875549230796954
1876,0.1027891109232994
1877,-0.7712323897574844
1878,0.18749570548917627
1879,-0.17352955177848234
1880,0.09934042376645083
1881,-0.026735491577018985
1882,0.0011360321394851478
1883,-0.654344463771887
1884,-1.956291340833698
1885,-0.9784402156391792
1886,0.19021051738821695
1887,0.6536054181630001
1888,0.08921476651278946
1889,-0.36624146019097514
1890,-0.13161634462965363
1891,-0.10351500861958163
1892,0.23107486032906507
1893,0.728515624290339
1894,0.01873467294632343
1895,-0.5152473098442706
1896,0.7331599478826787
1897,-0.22392939508800844
1898,-0.25899769478946927
1899,0.35823416526783
1900,0.46511009980842555
1901,0.4768592430720776
1902,-0.5095272968825062
1903,-1.3391296343602845
1904,-0.22916011515392973
1905,0.36550247075437775
1906,0.4571579947829939
1907,0.3400838682530567
1908,0.2559071577588069
1909,0.19211700933319842
1910,1.2682214467694612
1911,-0.3438047864018412
1912,-0.07039557569475527
1913,-0.7815283407158122
1914,-0.2136761459783542
1915,0.0935632055389007
1916,1.5511428011135968
1917,0.5938027280529146
1918,-0.46678893175477393
1919,0.8918249563482711
1920,0.10561548134856047
1921,-0.23547709558468058
1922,0.680691934741155
1923,0.03662513979770354
1924,0.6913889456564595
1925,0.23628282032469183
1926,1.0954717681503838
1927,0.10453578423878696
1928,-0.009055688212630808
1929,-0.8252807222098084
1930,1.1031173266464949
1931,0.40558389619995033
1932,0.04968309164260945
1933,0.9376411916206464
1934,-0.14282671690882262
1935,0.5452467449703585
1936,-0.048778276068997595
1937,0.6806409740211662
1938,0.3796341810520776
1939,-0.055289755451406214
1940,1.5153144583696245
1941,0.5279011457818389
1942,0.5287697861752968
1943,0.49825828530297256
1944,1.1905178806496075
1945,0.2308367424511953
1946,0.7166935230800073
1947,0.8185889213546169
1948,1.352879530120393
1949,0.3657948856438281
1950,0.9479670285145069
1951,0.6203466756838923
1952,0.9857364346035228
1953,-0.03249691411815436
1954,1.3326327773754714
1955,0.5938648846118662
1956,0.7494414469006438
1957,0.9741766033862995
1958,1.0983211410471831
1959,0.7220847887831667
1960,1.8396990580894839
1961,0.8048543565344392
1962,0.9437940201168075
1963,-1.0052429640256404
1964,0.27879646169547534
1965,0.4403836048811676
1966,0.09018606035967575
1967,0.2914759973088421
1968,1.1471377295669567
1969,0.8323073067486361
1970,0.8256306682590278
1971,0.7721258685808572
1972,0.6304564957536529
1973,0.9804700404487863
1974,0.7623167276079598
1975,-0.36005645727325103
1976,0.9729566841509361
1977,0.8774991395679126
1978,0.9408858392751853
1979,2.1572948731264416
1980,1.0928468795710469
1981,1.5224344400758931
1982,1.2802057764264168
1983,0.9135034257830716
1984,1.1675080166735137
1985,1.078609197300476
1986,1.0850164845319838
1987,1.1585887693610077
1988,1.5942960087459985
1989,1.9009985632966342
1990,1.5728817541718785
1991,0.12461310921990243
1992,0.9159236551852097
1993,0.9201422491057608
1994,1.6535629535795717
1995,1.3350978901356814
1996,1.3696872339451243
1997,2.392336362376191
1998,2.242877685641985
1999,2.76227293103801
2000,2.8203340388372515
2001,2.0998327166930126
2002,2.5745294846151334
2003,1.765330155672119
2004,3.1905311640751526
2005,2.3024371602963076
2006,1.7001108706835817
2007,2.882031859958396
2008,2.6182279808021645
2009,2.1392477454596426
2010,2.0676969894867816
2011,3.2475601523379067
2012,2.076104484153472
2013,3.3283517222590717
2014,3.310319240156687
2015,2.5498977369245783
2016,2.982134527600801
2017,2.9470553854227104
2018,2.9030409270873667
2019,3.0449642030964106
2020,4.294897930322366
2021,3.39296382411423
2022,2.3639287110306464
2023,3.5073805097100466
2024,4.195133980557924
2025,3.6946364811255696
2026,4.3110674671800115
2027,3.838285037046766
2028,3.4281979798832385
2029,3.959293956113927
2030,3.6278872038597894
2031,4.090067297496417
2032,3.5518836957972058
2033,4.013397586192581
2034,4.295153444960311
2035,4.024800727305783
2036,3.6584955339172756
2037,4.229771148951416
2038,4.26456312564422
2039,4.356174650497356
2040,4.414399460491175
2041,4.016920954035292
2042,4.8965974278148945
2043,4.900108247183466
2044,4.837648971584398
2045,4.5177946884102615
2046,5.097157943039798
2047,5.492083999776492
2048,5.3640376292959715
2049,4.000033140440204
